Date,LastUpdate,BusinessUnit,Site,Region,Severity,Status,SourceSystem,PageName,KPIName,KPIValue,Target,DeltaPct,Owner
2026-03-01,2026-03-24,Ports,Ahmedabad,North,High,In Progress,IAM,Page 1 - SOC Overview,Critical Incidents,72,100,-28,Security Ops
2026-03-01,2026-03-24,Energy,Ahmedabad,South,High,In Progress,EDR,Page 1 - SOC Overview,Mean Time to Respond (MTTR),72,100,-28,Security Ops
2026-03-01,2026-03-24,Ports,Mumbai,West,Low,Open,DLP,Page 1 - SOC Overview,False Positive Rate,15,100,-85,SOC Team
2026-03-01,2026-03-24,Data Center,Ahmedabad,East,Critical,Open,SIEM,Page 1 - SOC Overview,Incident Recurrence Rate,47,100,-53,SOC Team
2026-03-01,2026-03-24,Airports,Raipur,West,High,Open,SIEM,Page 1 - SOC Overview,Escalation Rate,13,100,-87,Security Ops
2026-03-01,2026-03-24,Ports,Raipur,South,Medium,Open,SIEM,Page 2 - Threat Detection,Ransomware Detection Count,15,100,-85,SOC Team
2026-03-01,2026-03-24,Energy,Ahmedabad,West,Critical,Open,SIEM,Page 2 - Threat Detection,EDR Coverage Rate,54,100,-46,Security Ops
2026-03-01,2026-03-24,Airports,Mumbai,East,Critical,Open,IAM,Page 2 - Threat Detection,XDR Alert Volume,63,100,-37,SOC Team
2026-03-01,2026-03-24,Data Center,Mumbai,North,Critical,Open,IAM,Page 2 - Threat Detection,Suspicious Login Attempts,14,100,-86,SOC Team
2026-03-01,2026-03-24,Airports,Mumbai,South,Critical,Resolved,DLP,Page 3 - Vulnerability & Patch,Critical Vulnerabilities Open,105,100,5,SOC Team
2026-03-01,2026-03-24,Data Center,Ahmedabad,West,Critical,Resolved,Firewall,Page 3 - Vulnerability & Patch,Vulnerability Remediation Rate,125,100,25,Security Ops
2026-03-01,2026-03-24,Ports,Mundra,South,Low,Open,SIEM,Page 3 - Vulnerability & Patch,Average Patch Age (Days),26,100,-74,Security Ops
2026-03-01,2026-03-24,Airports,Raipur,West,Critical,Resolved,EDR,Page 4 - Identity & Access,Privileged Account Count,122,100,22,Security Ops
2026-03-01,2026-03-24,Energy,Mumbai,South,Medium,Open,DLP,Page 4 - Identity & Access,Dormant Account Count,21,100,-79,SOC Team
2026-03-01,2026-03-24,Ports,Mundra,South,Low,Open,Firewall,Page 4 - Identity & Access,Failed Login Rate,11,100,-89,Security Ops
2026-03-01,2026-03-24,Data Center,Raipur,South,Medium,In Progress,IAM,Page 4 - Identity & Access,Unauthorized Access Attempts,85,100,-15,Security Ops
2026-03-01,2026-03-24,Ports,Mumbai,South,Low,Resolved,Firewall,Page 4 - Identity & Access,IAM Provisioning SLA,104,100,4,Security Ops
2026-03-01,2026-03-24,Energy,Ahmedabad,East,Medium,In Progress,SIEM,Page 4 - Identity & Access,Third-Party Access Risk Score,82,100,-18,Security Ops
2026-03-01,2026-03-24,Data Center,Mundra,East,Low,Open,Firewall,Page 5 - Compliance & Resilience,Data Loss Prevention (DLP) Incidents,25,100,-75,Security Ops
2026-03-01,2026-03-24,Ports,Raipur,West,High,Open,DLP,Page 5 - Compliance & Resilience,Backup Success Rate,58,100,-42,Security Ops
2026-03-01,2026-03-24,Energy,Ahmedabad,West,Low,Resolved,Firewall,Page 5 - Compliance & Resilience,Policy Acknowledgement Rate,100,100,0,Security Ops
2026-03-01,2026-03-24,Airports,Raipur,South,Low,Open,IAM,Page 5 - Compliance & Resilience,Security Awareness Training Completion,32,100,-68,Security Ops
2026-03-01,2026-03-24,Data Center,Ahmedabad,North,High,Resolved,Firewall,Page 5 - Compliance & Resilience,Third-Party Compliance Score,116,100,16,SOC Team
2026-03-02,2026-03-24,Airports,Mumbai,West,Medium,Open,IAM,Page 1 - SOC Overview,Open High-Risk Alerts,23,100,-77,SOC Team
2026-03-02,2026-03-24,Airports,Ahmedabad,South,Medium,In Progress,IAM,Page 1 - SOC Overview,False Positive Rate,80,100,-20,Security Ops
2026-03-02,2026-03-24,Ports,Mumbai,South,Critical,Open,EDR,Page 1 - SOC Overview,SOC Analyst Utilization,42,100,-58,SOC Team
2026-03-02,2026-03-24,Energy,Raipur,West,Low,Resolved,EDR,Page 2 - Threat Detection,Threats Detected per Day,113,100,13,Security Ops
2026-03-02,2026-03-24,Data Center,Ahmedabad,West,High,Open,Firewall,Page 2 - Threat Detection,Blocked Malware Attempts,19,100,-81,Security Ops
2026-03-02,2026-03-24,Data Center,Raipur,Central,Critical,In Progress,EDR,Page 2 - Threat Detection,Phishing Detection Count,80,100,-20,Security Ops
2026-03-02,2026-03-24,Data Center,Raipur,North,High,Open,IAM,Page 2 - Threat Detection,Anomalous Network Sessions,15,100,-85,SOC Team
2026-03-02,2026-03-24,Energy,Mumbai,West,Medium,Open,IAM,Page 3 - Vulnerability & Patch,High Vulnerabilities Open,48,100,-52,SOC Team
2026-03-02,2026-03-24,Ports,Raipur,South,Low,Open,EDR,Page 3 - Vulnerability & Patch,Vulnerability Remediation Rate,10,100,-90,SOC Team
2026-03-02,2026-03-24,Ports,Mumbai,West,Critical,Open,Firewall,Page 3 - Vulnerability & Patch,Patch Compliance Rate,31,100,-69,SOC Team
2026-03-02,2026-03-24,Airports,Ahmedabad,Central,High,Open,IAM,Page 3 - Vulnerability & Patch,Average Patch Age (Days),60,100,-40,Security Ops
2026-03-02,2026-03-24,Data Center,Ahmedabad,East,Medium,In Progress,DLP,Page 3 - Vulnerability & Patch,Internet-Facing Asset Risk Score,89,100,-11,SOC Team
2026-03-02,2026-03-24,Energy,Ahmedabad,Central,Medium,In Progress,EDR,Page 3 - Vulnerability & Patch,CVSS Weighted Exposure,81,100,-19,SOC Team
2026-03-02,2026-03-24,Energy,Mundra,North,Medium,Open,DLP,Page 4 - Identity & Access,Dormant Account Count,10,100,-90,SOC Team
2026-03-02,2026-03-24,Energy,Ahmedabad,East,Critical,Resolved,SIEM,Page 4 - Identity & Access,Password Policy Compliance,106,100,6,Security Ops
2026-03-02,2026-03-24,Data Center,Raipur,West,Medium,In Progress,Firewall,Page 4 - Identity & Access,PAM Session Violations,71,100,-29,Security Ops
2026-03-02,2026-03-24,Ports,Raipur,West,Low,Open,DLP,Page 4 - Identity & Access,Third-Party Access Risk Score,28,100,-72,Security Ops
2026-03-02,2026-03-24,Energy,Mumbai,North,Medium,Open,SIEM,Page 5 - Compliance & Resilience,Compliance Controls Pass Rate,38,100,-62,SOC Team
2026-03-02,2026-03-24,Airports,Mumbai,West,High,Open,DLP,Page 5 - Compliance & Resilience,Backup Success Rate,16,100,-84,Security Ops
2026-03-02,2026-03-24,Airports,Raipur,East,Medium,Resolved,Firewall,Page 5 - Compliance & Resilience,Disaster Recovery Drill Score,91,100,-9,SOC Team
2026-03-02,2026-03-24,Energy,Raipur,West,Low,Resolved,Firewall,Page 5 - Compliance & Resilience,Business Continuity Readiness,108,100,8,SOC Team
2026-03-02,2026-03-24,Data Center,Raipur,Central,Critical,Resolved,IAM,Page 5 - Compliance & Resilience,Policy Acknowledgement Rate,126,100,26,SOC Team
2026-03-03,2026-03-24,Energy,Raipur,South,Medium,Resolved,Firewall,Page 1 - SOC Overview,Critical Incidents,121,100,21,Security Ops
2026-03-03,2026-03-24,Data Center,Mundra,North,Low,Resolved,SIEM,Page 1 - SOC Overview,Mean Time to Respond (MTTR),116,100,16,SOC Team
2026-03-03,2026-03-24,Airports,Ahmedabad,South,Critical,Resolved,SIEM,Page 1 - SOC Overview,Open High-Risk Alerts,100,100,0,Security Ops
2026-03-03,2026-03-24,Energy,Mundra,East,Low,Open,IAM,Page 1 - SOC Overview,False Positive Rate,43,100,-57,SOC Team
2026-03-03,2026-03-24,Energy,Raipur,Central,Low,Open,Firewall,Page 2 - Threat Detection,Threats Detected per Day,48,100,-52,Security Ops
2026-03-03,2026-03-24,Data Center,Mundra,Central,Low,Open,Firewall,Page 2 - Threat Detection,EDR Coverage Rate,40,100,-60,SOC Team
2026-03-03,2026-03-24,Airports,Ahmedabad,East,Low,Resolved,DLP,Page 2 - Threat Detection,XDR Alert Volume,91,100,-9,Security Ops
2026-03-03,2026-03-24,Ports,Mumbai,North,High,Open,DLP,Page 2 - Threat Detection,IOC Match Rate,52,100,-48,Security Ops
2026-03-03,2026-03-24,Airports,Raipur,South,Low,Open,Firewall,Page 2 - Threat Detection,Lateral Movement Alerts,50,100,-50,Security Ops
2026-03-03,2026-03-24,Energy,Ahmedabad,North,Critical,Open,Firewall,Page 2 - Threat Detection,Anomalous Network Sessions,56,100,-44,SOC Team
2026-03-03,2026-03-24,Energy,Mumbai,West,Low,Open,SIEM,Page 3 - Vulnerability & Patch,Internet-Facing Asset Risk Score,45,100,-55,SOC Team
2026-03-03,2026-03-24,Airports,Mundra,Central,Critical,Open,IAM,Page 3 - Vulnerability & Patch,Unpatched Endpoint Count,41,100,-59,Security Ops
2026-03-03,2026-03-24,Airports,Mundra,North,High,Open,SIEM,Page 3 - Vulnerability & Patch,Scan Coverage Rate,24,100,-76,Security Ops
2026-03-03,2026-03-24,Ports,Ahmedabad,South,Low,Open,SIEM,Page 3 - Vulnerability & Patch,Configuration Drift Incidents,63,100,-37,Security Ops
2026-03-03,2026-03-24,Ports,Ahmedabad,West,Low,Open,Firewall,Page 4 - Identity & Access,Privileged Account Count,15,100,-85,SOC Team
2026-03-03,2026-03-24,Ports,Raipur,South,Critical,Open,EDR,Page 4 - Identity & Access,Password Policy Compliance,19,100,-81,Security Ops
2026-03-03,2026-03-24,Ports,Ahmedabad,West,High,In Progress,SIEM,Page 4 - Identity & Access,Access Review Completion Rate,71,100,-29,SOC Team
2026-03-03,2026-03-24,Energy,Ahmedabad,North,Low,In Progress,EDR,Page 4 - Identity & Access,PAM Session Violations,81,100,-19,Security Ops
2026-03-03,2026-03-24,Airports,Ahmedabad,North,Critical,Open,SIEM,Page 5 - Compliance & Resilience,Backup Success Rate,38,100,-62,SOC Team
2026-03-03,2026-03-24,Data Center,Raipur,North,Low,Open,EDR,Page 5 - Compliance & Resilience,Disaster Recovery Drill Score,60,100,-40,SOC Team
2026-03-03,2026-03-24,Ports,Raipur,East,Critical,Open,DLP,Page 5 - Compliance & Resilience,Policy Acknowledgement Rate,53,100,-47,Security Ops
2026-03-03,2026-03-24,Airports,Ahmedabad,North,High,Resolved,EDR,Page 5 - Compliance & Resilience,Security Awareness Training Completion,93,100,-7,Security Ops
2026-03-04,2026-03-24,Ports,Mundra,North,High,Resolved,DLP,Page 1 - SOC Overview,Total Security Incidents,127,100,27,SOC Team
2026-03-04,2026-03-24,Airports,Ahmedabad,Central,Critical,Open,SIEM,Page 1 - SOC Overview,Critical Incidents,30,100,-70,Security Ops
2026-03-04,2026-03-24,Data Center,Raipur,East,Critical,Open,Firewall,Page 1 - SOC Overview,SLA Compliance Rate,10,100,-90,SOC Team
2026-03-04,2026-03-24,Airports,Ahmedabad,East,Critical,Resolved,IAM,Page 1 - SOC Overview,False Positive Rate,126,100,26,Security Ops
2026-03-04,2026-03-24,Energy,Mundra,West,Medium,In Progress,SIEM,Page 1 - SOC Overview,Incident Recurrence Rate,72,100,-28,SOC Team
2026-03-04,2026-03-24,Ports,Ahmedabad,East,Medium,In Progress,Firewall,Page 2 - Threat Detection,Threats Detected per Day,74,100,-26,Security Ops
2026-03-04,2026-03-24,Airports,Raipur,East,Critical,Resolved,DLP,Page 2 - Threat Detection,Ransomware Detection Count,125,100,25,SOC Team
2026-03-04,2026-03-24,Airports,Mumbai,East,Critical,Resolved,SIEM,Page 2 - Threat Detection,Phishing Detection Count,119,100,19,SOC Team
2026-03-04,2026-03-24,Energy,Mundra,North,Low,Resolved,IAM,Page 2 - Threat Detection,Anomalous Network Sessions,121,100,21,SOC Team
2026-03-04,2026-03-24,Data Center,Mumbai,West,Medium,Open,DLP,Page 3 - Vulnerability & Patch,Vulnerability Remediation Rate,14,100,-86,Security Ops
2026-03-04,2026-03-24,Airports,Mumbai,North,High,Open,IAM,Page 3 - Vulnerability & Patch,Patch Compliance Rate,47,100,-53,Security Ops
2026-03-04,2026-03-24,Airports,Ahmedabad,West,Low,Resolved,DLP,Page 3 - Vulnerability & Patch,Average Patch Age (Days),95,100,-5,SOC Team
2026-03-04,2026-03-24,Energy,Mundra,South,Low,Open,SIEM,Page 3 - Vulnerability & Patch,Unpatched Endpoint Count,21,100,-79,Security Ops
2026-03-04,2026-03-24,Airports,Raipur,South,High,Resolved,EDR,Page 3 - Vulnerability & Patch,Scan Coverage Rate,115,100,15,SOC Team
2026-03-04,2026-03-24,Ports,Raipur,West,Medium,Open,IAM,Page 4 - Identity & Access,Dormant Account Count,34,100,-66,SOC Team
2026-03-04,2026-03-24,Data Center,Ahmedabad,North,High,Open,Firewall,Page 4 - Identity & Access,Failed Login Rate,54,100,-46,Security Ops
2026-03-04,2026-03-24,Energy,Ahmedabad,North,Medium,In Progress,IAM,Page 4 - Identity & Access,Access Review Completion Rate,84,100,-16,SOC Team
2026-03-04,2026-03-24,Airports,Mundra,East,Low,Resolved,DLP,Page 4 - Identity & Access,Unauthorized Access Attempts,90,100,-10,SOC Team
2026-03-04,2026-03-24,Data Center,Mumbai,West,Medium,Open,DLP,Page 4 - Identity & Access,IAM Provisioning SLA,20,100,-80,SOC Team
2026-03-04,2026-03-24,Ports,Raipur,East,High,Open,IAM,Page 4 - Identity & Access,PAM Session Violations,63,100,-37,SOC Team
2026-03-04,2026-03-24,Ports,Mundra,West,High,Open,DLP,Page 4 - Identity & Access,Third-Party Access Risk Score,56,100,-44,Security Ops
2026-03-04,2026-03-24,Ports,Ahmedabad,North,Low,Open,DLP,Page 5 - Compliance & Resilience,Compliance Controls Pass Rate,56,100,-44,Security Ops
2026-03-04,2026-03-24,Ports,Mumbai,South,High,Resolved,SIEM,Page 5 - Compliance & Resilience,Data Loss Prevention (DLP) Incidents,95,100,-5,Security Ops
2026-03-04,2026-03-24,Ports,Mundra,South,High,In Progress,SIEM,Page 5 - Compliance & Resilience,Policy Acknowledgement Rate,89,100,-11,Security Ops
2026-03-04,2026-03-24,Energy,Raipur,East,Low,In Progress,DLP,Page 5 - Compliance & Resilience,Security Awareness Training Completion,74,100,-26,SOC Team
2026-03-04,2026-03-24,Data Center,Ahmedabad,Central,Medium,Open,IAM,Page 5 - Compliance & Resilience,Third-Party Compliance Score,26,100,-74,SOC Team
2026-03-05,2026-03-24,Airports,Mundra,East,High,Resolved,Firewall,Page 1 - SOC Overview,Mean Time to Respond (MTTR),92,100,-8,Security Ops
2026-03-05,2026-03-24,Data Center,Mundra,South,Medium,Resolved,SIEM,Page 1 - SOC Overview,Open High-Risk Alerts,104,100,4,SOC Team
2026-03-05,2026-03-24,Airports,Mundra,Central,Medium,Open,IAM,Page 1 - SOC Overview,False Positive Rate,27,100,-73,SOC Team
2026-03-05,2026-03-24,Airports,Mumbai,East,Critical,Resolved,Firewall,Page 1 - SOC Overview,Incident Recurrence Rate,113,100,13,SOC Team
2026-03-05,2026-03-24,Airports,Ahmedabad,West,Critical,In Progress,DLP,Page 1 - SOC Overview,SOC Analyst Utilization,80,100,-20,Security Ops
2026-03-05,2026-03-24,Energy,Mundra,North,Medium,Open,Firewall,Page 2 - Threat Detection,Ransomware Detection Count,38,100,-62,Security Ops
2026-03-05,2026-03-24,Ports,Ahmedabad,Central,High,Open,DLP,Page 2 - Threat Detection,EDR Coverage Rate,18,100,-82,Security Ops
2026-03-05,2026-03-24,Data Center,Raipur,North,Critical,Open,DLP,Page 2 - Threat Detection,Lateral Movement Alerts,26,100,-74,SOC Team
2026-03-05,2026-03-24,Energy,Mundra,Central,Critical,Open,Firewall,Page 3 - Vulnerability & Patch,Critical Vulnerabilities Open,56,100,-44,Security Ops
2026-03-05,2026-03-24,Energy,Mumbai,Central,Medium,Open,EDR,Page 3 - Vulnerability & Patch,Unpatched Endpoint Count,61,100,-39,Security Ops
2026-03-05,2026-03-24,Airports,Mumbai,Central,Low,Open,IAM,Page 4 - Identity & Access,Dormant Account Count,51,100,-49,SOC Team
2026-03-05,2026-03-24,Ports,Mumbai,East,Critical,Resolved,SIEM,Page 4 - Identity & Access,PAM Session Violations,125,100,25,SOC Team
2026-03-05,2026-03-24,Ports,Raipur,West,High,In Progress,DLP,Page 5 - Compliance & Resilience,Audit Findings Open,77,100,-23,SOC Team
2026-03-05,2026-03-24,Airports,Ahmedabad,Central,Low,In Progress,IAM,Page 5 - Compliance & Resilience,Backup Success Rate,83,100,-17,SOC Team
2026-03-05,2026-03-24,Energy,Mundra,South,Low,Open,Firewall,Page 5 - Compliance & Resilience,Business Continuity Readiness,36,100,-64,Security Ops
2026-03-05,2026-03-24,Energy,Ahmedabad,Central,Medium,Resolved,DLP,Page 5 - Compliance & Resilience,Policy Acknowledgement Rate,124,100,24,Security Ops
2026-03-05,2026-03-24,Ports,Raipur,North,Critical,Open,Firewall,Page 5 - Compliance & Resilience,Third-Party Compliance Score,32,100,-68,SOC Team
2026-03-06,2026-03-24,Data Center,Mundra,North,Medium,Open,DLP,Page 1 - SOC Overview,Total Security Incidents,60,100,-40,Security Ops
2026-03-06,2026-03-24,Airports,Raipur,Central,Low,Open,EDR,Page 1 - SOC Overview,Mean Time to Respond (MTTR),31,100,-69,SOC Team
2026-03-06,2026-03-24,Data Center,Mumbai,Central,Low,In Progress,SIEM,Page 1 - SOC Overview,False Positive Rate,73,100,-27,SOC Team
2026-03-06,2026-03-24,Energy,Mumbai,West,Medium,Resolved,SIEM,Page 1 - SOC Overview,Escalation Rate,110,100,10,Security Ops
2026-03-06,2026-03-24,Data Center,Mumbai,East,Low,Resolved,Firewall,Page 2 - Threat Detection,Threats Detected per Day,97,100,-3,SOC Team
2026-03-06,2026-03-24,Ports,Ahmedabad,Central,Medium,Open,EDR,Page 2 - Threat Detection,Ransomware Detection Count,43,100,-57,SOC Team
2026-03-06,2026-03-24,Airports,Ahmedabad,South,Medium,Resolved,Firewall,Page 2 - Threat Detection,Phishing Detection Count,92,100,-8,SOC Team
2026-03-06,2026-03-24,Ports,Ahmedabad,East,Low,Resolved,EDR,Page 2 - Threat Detection,Lateral Movement Alerts,114,100,14,SOC Team
2026-03-06,2026-03-24,Energy,Mumbai,South,High,In Progress,EDR,Page 3 - Vulnerability & Patch,Critical Vulnerabilities Open,72,100,-28,SOC Team
2026-03-06,2026-03-24,Energy,Mumbai,Central,Critical,In Progress,DLP,Page 3 - Vulnerability & Patch,High Vulnerabilities Open,75,100,-25,Security Ops
2026-03-06,2026-03-24,Data Center,Mumbai,East,Critical,Open,IAM,Page 3 - Vulnerability & Patch,Scan Coverage Rate,35,100,-65,SOC Team
2026-03-06,2026-03-24,Energy,Mundra,North,High,Open,IAM,Page 4 - Identity & Access,Failed Login Rate,30,100,-70,SOC Team
2026-03-06,2026-03-24,Airports,Mundra,North,Medium,Open,SIEM,Page 4 - Identity & Access,Access Review Completion Rate,22,100,-78,Security Ops
2026-03-06,2026-03-24,Ports,Raipur,South,Low,Open,SIEM,Page 4 - Identity & Access,IAM Provisioning SLA,26,100,-74,SOC Team
2026-03-06,2026-03-24,Data Center,Raipur,North,Low,Open,IAM,Page 4 - Identity & Access,PAM Session Violations,48,100,-52,Security Ops
2026-03-06,2026-03-24,Ports,Raipur,West,High,Open,SIEM,Page 4 - Identity & Access,Third-Party Access Risk Score,56,100,-44,SOC Team
2026-03-06,2026-03-24,Energy,Mundra,West,High,In Progress,EDR,Page 5 - Compliance & Resilience,Compliance Controls Pass Rate,82,100,-18,Security Ops
2026-03-06,2026-03-24,Energy,Mundra,North,Low,Open,EDR,Page 5 - Compliance & Resilience,Data Loss Prevention (DLP) Incidents,31,100,-69,SOC Team
2026-03-06,2026-03-24,Ports,Ahmedabad,North,Low,Open,SIEM,Page 5 - Compliance & Resilience,Disaster Recovery Drill Score,25,100,-75,Security Ops
2026-03-06,2026-03-24,Energy,Raipur,Central,Medium,Open,EDR,Page 5 - Compliance & Resilience,Policy Acknowledgement Rate,37,100,-63,SOC Team
2026-03-07,2026-03-24,Data Center,Mundra,West,High,Open,Firewall,Page 1 - SOC Overview,Total Security Incidents,60,100,-40,SOC Team
2026-03-07,2026-03-24,Energy,Raipur,West,Medium,Resolved,Firewall,Page 1 - SOC Overview,Critical Incidents,95,100,-5,Security Ops
2026-03-07,2026-03-24,Ports,Ahmedabad,East,Critical,Resolved,Firewall,Page 1 - SOC Overview,Mean Time to Respond (MTTR),101,100,1,SOC Team
2026-03-07,2026-03-24,Ports,Mundra,West,Low,In Progress,IAM,Page 1 - SOC Overview,SLA Compliance Rate,88,100,-12,Security Ops
2026-03-07,2026-03-24,Airports,Mumbai,South,Critical,Open,SIEM,Page 1 - SOC Overview,False Positive Rate,56,100,-44,Security Ops
2026-03-07,2026-03-24,Ports,Raipur,South,Medium,Open,Firewall,Page 1 - SOC Overview,Incident Recurrence Rate,36,100,-64,SOC Team
2026-03-07,2026-03-24,Ports,Mumbai,Central,Medium,Open,IAM,Page 2 - Threat Detection,Blocked Malware Attempts,27,100,-73,SOC Team
2026-03-07,2026-03-24,Energy,Ahmedabad,North,High,Resolved,EDR,Page 2 - Threat Detection,Phishing Detection Count,111,100,11,Security Ops
2026-03-07,2026-03-24,Energy,Mumbai,Central,Critical,Open,SIEM,Page 2 - Threat Detection,EDR Coverage Rate,28,100,-72,SOC Team
2026-03-07,2026-03-24,Ports,Mumbai,South,Low,Open,SIEM,Page 2 - Threat Detection,Lateral Movement Alerts,26,100,-74,Security Ops
2026-03-07,2026-03-24,Ports,Mundra,South,Low,Resolved,IAM,Page 3 - Vulnerability & Patch,Patch Compliance Rate,108,100,8,SOC Team
2026-03-07,2026-03-24,Ports,Ahmedabad,North,Low,Open,DLP,Page 3 - Vulnerability & Patch,Internet-Facing Asset Risk Score,14,100,-86,Security Ops
2026-03-07,2026-03-24,Energy,Raipur,North,Medium,Resolved,Firewall,Page 3 - Vulnerability & Patch,Unpatched Endpoint Count,104,100,4,SOC Team
2026-03-07,2026-03-24,Energy,Raipur,Central,Medium,Resolved,DLP,Page 3 - Vulnerability & Patch,Configuration Drift Incidents,92,100,-8,Security Ops
2026-03-07,2026-03-24,Data Center,Raipur,East,Critical,Open,Firewall,Page 4 - Identity & Access,Failed Login Rate,26,100,-74,SOC Team
2026-03-07,2026-03-24,Ports,Mundra,North,High,Open,Firewall,Page 4 - Identity & Access,Password Policy Compliance,50,100,-50,SOC Team
2026-03-07,2026-03-24,Airports,Mundra,Central,Critical,Resolved,IAM,Page 4 - Identity & Access,IAM Provisioning SLA,98,100,-2,SOC Team
2026-03-07,2026-03-24,Airports,Raipur,East,Low,Open,Firewall,Page 4 - Identity & Access,PAM Session Violations,39,100,-61,Security Ops
2026-03-07,2026-03-24,Data Center,Ahmedabad,East,Low,Open,IAM,Page 5 - Compliance & Resilience,Compliance Controls Pass Rate,54,100,-46,SOC Team
2026-03-07,2026-03-24,Airports,Raipur,South,Low,In Progress,SIEM,Page 5 - Compliance & Resilience,Backup Success Rate,67,100,-33,Security Ops
2026-03-07,2026-03-24,Energy,Mundra,Central,High,In Progress,Firewall,Page 5 - Compliance & Resilience,Recovery Time Objective (RTO) Achievement,78,100,-22,SOC Team
2026-03-07,2026-03-24,Airports,Raipur,North,High,Resolved,SIEM,Page 5 - Compliance & Resilience,Security Awareness Training Completion,119,100,19,SOC Team
2026-03-07,2026-03-24,Energy,Raipur,Central,Critical,Open,EDR,Page 5 - Compliance & Resilience,Third-Party Compliance Score,15,100,-85,SOC Team
2026-03-08,2026-03-24,Energy,Mundra,North,High,Open,EDR,Page 1 - SOC Overview,Total Security Incidents,54,100,-46,Security Ops
2026-03-08,2026-03-24,Energy,Ahmedabad,West,Low,Open,EDR,Page 1 - SOC Overview,Mean Time to Detect (MTTD),14,100,-86,SOC Team
